serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
1404,ER1076A,ER1076A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,15,4,18KT YELLOW GOLD,5.586,5.5,11408,4675,ROUND,SI,GH,54,0.43,30100,44290,,,0,0,0,462,46645,604,60977,
1405,ER1115A,ER1115A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,34.6,11.1,18KT YELLOW GOLD,7.976,7,14519,5950,ROUND,SI,GH,62,0.57,39900,58710,"CITRINE,AMETHYST,CITRINE","OVAL,PEAR,OCTAGON",6,4.31,6494,669,67532,857,86530,
1406,ER1131A,ER1131A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,29,11,18KT YELLOW GOLD,6.548,5.2,10785,4420,ROUND,SI,GH,96,0.48,33600,49440,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,OVAL,ROUND",6,6.26,7402,562,56769,720,72767,
1407,ER1135A,ER1135A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Glitz & Gold,,45.25,6.25,18KT YELLOW GOLD,6.088,5.5,11408,4675,ROUND,SI,GH,22,0.34,23800,35020,RAINFOREST GREEN TOPAZ,OVAL,2,2.6,5200,451,45534,563,56866,
1408,ER1141A,ER1141A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,29.4,12.4,18KT YELLOW GOLD,8.104,7.3,15141,5475,ROUND,SI,GH,100,0.82,57400,84460,"SWAROVSKI GREEN ,CITRINE","ROUND,ROUND",92,3.2,5970,840,84826,1110,112156,
1409,ER1148A,ER1148A,EARRINGS,CHANDELIERS,EXCLUSIVE,Daily Dazzle:Glitz & Gold,,43.3,16.2,18KT YELLOW GOLD,10.14,10,20741,7500,ROUND,SI,GH,134,0.7,49000,72100,,,0,0,0,772,78013,1003,101344,
1410,ER1160A,ER1160A,EARRINGS,CHANDELIERS,CLASSIC,Candid Celebrations:Symmetric Splendour,,32.3,10.4,18KT YELLOW GOLD,8.098,8,16593,6000,ROUND,SI,GH,84,0.49,34300,50470,,,0,0,0,569,57462,731,73794,
1411,ER1163A,ER1163A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Symmetric Splendour:Romancing Rocks,,38.5,15.5,18KT YELLOW GOLD,9.438,9,18667,6750,ROUND,SI,GH,192,0.98,68600,100940,"SWAROVSKI RED,RAINFOREST GREEN TOPAZ","ROUND,OVAL",79,1.21,5390,994,100401,1317,133064,
1412,ER1170A,ER1170A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Glitz & Gold:Black Beauty,,46.2,15.8,18KT YELLOW GOLD,13.444,11.3,23437,8475,ROUND,SI,GH,120,1.01,70700,104030,"RHODOLITE,SMOKY QUARTZ","PEAR,PEAR",4,9.71,4371,1070,108053,1403,141716,
1413,ER1174A,ER1174A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,36.7,11.1,18KT YELLOW GOLD,6.864,6.8,14104,5780,ROUND,SI,GH,54,0.32,22400,32960,,,0,0,0,423,42707,528,53372,
1414,RG0284A,RG0284A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Floral Fantasy,,0,0,18KT YELLOW GOLD,3.449,3.401,7054,2891,ROUND,SI,GH,17,0.24,16800,24720,,,0,0,0,267,27012,347,35012,12
1415,ER1176A,ER1176A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Romancing Rocks:Black Beauty,,34.4,14,18KT YELLOW GOLD,10.116,8,16593,6000,ROUND,SI,GH,112,0.67,46900,69010,"CITRINE,SMOKY QUARTZ","PEAR,PEAR",4,9.91,4971,745,75209,966,97540,
1416,ER1180A,ER1180A,EARRINGS,CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,35.6,10.6,18KT YELLOW GOLD,6.218,5.5,11408,4675,ROUND,SI,GH,92,0.55,38500,56650,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","OVAL,OVAL",4,3.04,6740,613,61936,795,80268,
1417,ER1193A,ER1193A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes,,31.3,16,18KT YELLOW GOLD,14.565,11.499,23850,8624,ROUND,SI,GH,84,1.01,70700,104030,BRIGHT GOLD PEARL,ROUND,2,14.32,1790,1050,106014,1383,139677,
1418,ER1204A,ER1204A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes,,29.5,15,18KT YELLOW GOLD,13.042,10,20741,7500,ROUND,SI,GH,88,0.44,30800,45320,"SWAROVSKI RED,BRIGHT GOLD PEARL","ROUND,ROUND",36,14.77,3490,625,63156,771,77822,
1419,ER1337A,ER1337A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Romancing Rocks,,42.59,11.45,18KT WHITE GOLD,6.958,6.8,14104,5780,ROUND,SI,GH,82,0.41,28700,42230,CITRINE,PEAR,2,0.38,1140,497,50221,633,63887,
1420,ER1371A,ER1371A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Drops & Domes:Romancing Rocks,,35.5,13.8,18KT YELLOW GOLD,9.78,7.968,16526,5976,ROUND,SI,GH,54,0.47,32900,48410,"SWAROVSKI GREEN ,CREAM PEARL","ROUND,ROUND",154,8.59,8510,639,64551,794,80216,
1421,ER1505A,ER1505A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Daily Dazzle:Romancing Rocks:Symmetric Splendour,,24.6,10,18KT YELLOW GOLD,6.141,5.201,10787,4421,ROUND,SI,GH,104,0.58,40600,59740,"AMETHYST,CITRINE","PEAR,OCTAGON",4,4.12,5283,611,61702,802,81033,
1422,ER1510A,ER1510A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Romancing Rocks,,25.5,2.2,18KT YELLOW GOLD,5.872,5.5,11408,4675,ROUND,SI,GH,30,0.93,65100,95790,SWAROVSKI RED,ROUND,26,0.93,1300,825,83308,1132,114305,
1423,RG0285A,RG0285A,RINGS,CLASSICS,CLASSIC,Daily Dazzle:Floral Fantasy,,0,0,18KT WHITE GOLD,3.957,3.899,8087,3314,ROUND,SI,GH,19,0.29,20300,29870,,,0,0,0,317,32018,413,41684,12
1424,RG0286A,RG0286A,RINGS,CLASSICS,CLASSIC,Daily Dazzle,,0,0,18KT PINK GOLD,3.214,3.2,6637,2720,ROUND,SI,GH,6,0.07,4900,7210,,,0,0,0,143,14400,166,16733,12
1425,PD1695A,PD1695A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,16.56,5.45,18KT YELLOW GOLD,0.711,0.699,1450,664,ROUND,SI,GH,13,0.06,4200,6180,,,0,0,0,63,6377,83,8377,
1426,PD1696A,PD1696A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,16.1,8.59,18KT YELLOW GOLD,1.002,1,2074,950,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,37,3761,41,4095,
1427,PD1697A,PD1697A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,18.29,7.2,18KT YELLOW GOLD,0.902,0.9,1867,855,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,34,3456,38,3790,
1428,PD1698A,PD1698A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,14.13,6.16,18KT YELLOW GOLD,1.002,1,2074,950,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,37,3761,41,4095,
1429,PD1699A,PD1699A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,13.53,10.95,18KT YELLOW GOLD,0.503,0.499,1035,474,ROUND,SI,GH,1,0.02,1400,2060,,,0,0,0,29,2938,36,3605,
1430,PD1700A,PD1700A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,13.95,8.11,18KT YELLOW GOLD,0.702,0.7,1452,665,ROUND,SI,GH,2,0.01,700,1030,,,0,0,0,28,2845,31,3178,
1431,PD1701A,PD1701A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,14.02,6.86,18KT YELLOW GOLD,0.601,0.599,1242,569,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,25,2536,28,2869,
1432,PD1702A,PD1702A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,16.05,6.97,18KT YELLOW GOLD,0.72,0.718,1489,682,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,29,2900,32,3233,
1433,PD1703A,PD1703A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,15.82,10.85,18KT YELLOW GOLD,1.107,1.099,2279,1044,ROUND,SI,GH,6,0.04,2800,4120,,,0,0,0,61,6184,74,7517,
1434,PD1704A,PD1704A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,15.01,7.26,18KT YELLOW GOLD,0.72,0.716,1485,680,ROUND,SI,GH,4,0.02,1400,2060,,,0,0,0,36,3601,42,4267,
1435,PD1705A,PD1705A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,13.51,3.82,18KT YELLOW GOLD,0.402,0.4,830,380,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,19,1929,22,2262,
1436,PD1706A,PD1706A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,11.02,8.06,18KT YELLOW GOLD,0.49,0.488,1012,464,ROUND,SI,GH,1,0.01,700,1030,,,0,0,0,22,2198,25,2531,
1437,RG0287A,RG0287A,RINGS,CLASSICS,CLASSIC,Daily Dazzle,,0,0,18KT YELLOW GOLD,3.116,3.1,6430,2635,ROUND,SI,GH,9,0.08,5600,8240,,,0,0,0,147,14812,173,17478,12
1438,PD1707A,PD1707A,PENDANTS,CASUAL:FASHION,EXCLUSIVE,Kids Collection,,16.38,10.6,18KT YELLOW GOLD,1.29,1.286,2667,1222,ROUND,SI,GH,2,0.02,1400,2060,,,0,0,0,53,5342,59,6008,
1439,RG0288A,RG0288A,RINGS,CLASSICS,EXCLUSIVE,Daily Dazzle:Floral Fantasy,,0,0,18KT WHITE GOLD,3.892,3.8,7882,3230,ROUND,SI,GH,31,0.46,32200,47380,,,0,0,0,433,43745,585,59077,12
1440,RG0289A,RG0289A,RINGS,CLASSICS,EXCLUSIVE,Daily Dazzle:Floral Fantasy,,0,0,18KT YELLOW GOLD,5.602,5.5,11408,4675,ROUND,SI,GH,33,0.51,35700,52530,,,0,0,0,518,52301,686,69299,13
