serial no,Name of Product,SKU,Product,Type of Product,Category,Collection,Description,HEIGHT,WIDTH,Metal Type,Grossweight,Metal Weight,Metal Price,Making Charges,Diamond shape,Diamond clarity,Diamond color,No. of Diamonds,Total Diamond Weight,Dia Amount For SI GH,Dia Amount For VVS EF,Gem Stone Type,Gemstone shape,No. of Gemstones,Total Gemstone Weight,Total Gemstone Amount,VAT For SI GH,Total Value of Product with SI GH,VAT For VVS EF,Total Value of Product with VVS EF,Size
1,ER0530A,ER0530A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold:Symmetric Splendour,,29.5,8.5,18KT YELLOW GOLD,3.69,3.658,7587,3109,ROUND,SI,GH,66,0.16,11200,16480,,,0,0,0,219,22115,272,27448,
2,ER0545A,ER0545A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,ABSTRACT FRAMEWORK OF DESIGN SET IN 18K GOLD WITH HIGH GLOSSY FINISH IS CHERRY TOPPED WITH A CLASSY NATURAL PEARL. THE CONTEMPORARY VOGUE WITH A MEDIEVAL TOUCH OF ART IS MEANT TO WEAR FOR ANY FORMAL FUNCTION,31.5,9.71,18KT YELLOW GOLD,8.22,6.676,13847,5675,ROUND,SI,GH,74,0.45,31500,46350,CREAM PEARL,ROUND,2,7.27,909,519,52450,668,67449,
3,ER0547A,ER0547A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Just Jhumkas,"ADD ALLURE TO YOUR ENSEMBLE BY WEARING THESE LUXURIOUS EARRINGS. WHERE TRADITION MEETS MODERNITY, THESE VERSATILE DROPS OF HIGH QUALITY ARE GREAT FOR GIFTING YOUR BELOVED ONE, FOR HER BIRTHDAY OR ANNIVERSARY",27.36,11.05,18KT YELLOW GOLD,8.16,6.596,13681,5607,ROUND,SI,GH,88,0.51,35700,52530,CREAM PEARL,ROUND,2,7.31,914,559,56461,727,73459,
4,ER0551A,ER0551A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Daily Dazzle:Drops & Domes:Glitz & Gold:Just Jhumkas,,27.47,11.14,18KT YELLOW GOLD,10.3,8.762,18173,6572,ROUND,SI,GH,72,0.42,29400,43260,CREAM PEARL,ROUND,2,7.27,909,551,55605,689,69603,
5,ER0560A,ER0560A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,46.08,14.02,18KT YELLOW GOLD,16.65,12.238,25383,9178,ROUND,SI,GH,72,0.48,33600,49440,"CREAM PEARL,CREAM PEARL","ROUND,ROUND",4,21.58,2698,709,71568,867,87566,
6,ER0579A,ER0579A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Just Jhumkas,,29.5,12.87,18KT YELLOW GOLD,12.16,9.228,19140,6921,ROUND,SI,GH,46,0.4,28000,41200,CREAM PEARL,ROUND,2,14.26,1783,558,56402,690,69734,
7,ER0580A,ER0580A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Daily Dazzle:Drops & Domes:Symmetric Splendour,,30.5,10,18KT YELLOW GOLD,9.5,6.55,13585,5568,ROUND,SI,GH,82,0.43,30100,44290,CREAM PEARL,ROUND,2,14.32,1790,510,51553,652,65885,
8,ER0591A,ER0591A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold:Just Jhumkas,,21.38,15.1,18KT YELLOW GOLD,11.63,9.312,19314,6984,ROUND,SI,GH,94,0.63,44100,64890,"RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,ROUND",26,10.96,4012,744,75154,952,96152,
9,ER0595A,ER0595A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Glitz & Gold,,31.5,10.6,18KT YELLOW GOLD,4.33,4.134,8574,3514,ROUND,SI,GH,100,0.4,28000,41200,"SWAROVSKI GREEN ,RAINFOREST GREEN TOPAZ","ROUND,OVAL",12,0.58,2005,421,42514,553,55846,
10,ER0597A,ER0597A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Romancing Rocks,,41,7.6,18KT YELLOW GOLD,4.6,4.036,8371,3431,ROUND,SI,GH,20,0.26,18200,26780,RAINFOREST GREEN TOPAZ,OVAL,2,2.56,5120,351,35473,437,44139,
11,ER0639A,ER0639A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,41.45,15.5,18KT YELLOW GOLD,8.8,8.352,17323,6264,ROUND,SI,GH,82,0.4,28000,41200,"SWAROVSKI RED,RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","ROUND,OVAL,OVAL",72,1.84,8090,597,60274,729,73606,
12,ER0662A,ER0662A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Floral Fantasy:Glitz & Gold,,36.5,15,18KT YELLOW GOLD,6.76,6.628,13747,5634,ROUND,SI,GH,126,0.66,46200,67980,,,0,0,0,656,66237,874,88235,
13,ER0663A,ER0663A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,29,15.8,18KT YELLOW GOLD,6.56,6.496,13473,5522,ROUND,SI,GH,56,0.32,22400,32960,,,0,0,0,414,41809,520,52475,
14,ER1008A,ER1008A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,28.03,20,18KT YELLOW GOLD,13.66,13.578,28162,10184,ROUND,SI,GH,56,0.41,28700,42230,,,0,0,0,670,67716,806,81382,
15,ER1012A,ER1012A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,25.7,16.7,18KT YELLOW GOLD,9.65,9.008,18683,6756,ROUND,SI,GH,80,0.45,31500,46350,SWAROVSKI GREEN,ROUND,250,2.76,12500,694,70133,843,85132,
16,ER1173A,ER1173A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,29.5,16.2,18KT YELLOW GOLD,10.44,9.16,18999,6870,ROUND,SI,GH,122,0.76,53200,78280,"SWAROVSKI RED,CITRINE","ROUND,OVAL",160,5.64,12640,917,92626,1168,117957,
17,ER1194A,ER1194A,EARRINGS,STUDS/DROPS,CLASSIC,Daily Dazzle:Drops & Domes:Glitz & Gold:Irresistible Illusions,,17.7,10,18KT YELLOW GOLD,2.89,2.818,5845,2677,ROUND,SI,GH,46,0.36,25200,37080,,,0,0,0,337,34059,456,46058,
18,ER0512A,ER0512A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,33,16,18KT YELLOW GOLD,9.99,7,14519,5950,ROUND,SI,GH,112,0.66,46200,67980,CREAM PEARL,ROUND,2,14.29,1786,685,69140,902,91137,
19,ER0538A,ER0538A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Candid Celebrations:Floral Fantasy:Glitz & Gold:Just Jhumkas,,26,13,18KT YELLOW GOLD,10.38,7.44,15431,5580,ROUND,SI,GH,80,0.42,29400,43260,CREAM PEARL,ROUND,2,14.28,1785,522,52718,661,66717,
20,ER0599A,ER0599A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Just Jhumkas,,41.5,17.6,18KT YELLOW GOLD,15.5,12.292,25495,9219,ROUND,SI,GH,116,0.78,54600,80340,"CREAM PEARL,SWAROVSKI GREEN","ROUND,ROUND",72,15.26,5289,946,95549,1203,121546,
21,ER1164A,ER1164A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Irresistible Illusions,,32.5,13.9,18KT YELLOW GOLD,6.28,6.09,12631,5176,ROUND,SI,GH,126,0.95,66500,97850,,,0,0,0,843,85150,1157,116814,
22,ER0549A,ER0549A,EARRINGS,BAALIS/HUGGIES:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,30.5,16,18KT YELLOW GOLD,10.62,7.628,15821,5721,ROUND,SI,GH,162,0.65,45500,66950,BRIGHT GOLD PEARL,ROUND,2,14.31,1789,688,69519,903,91184,
23,ER0637A,ER0637A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Daily Dazzle:Glitz & Gold:Just Jhumkas,,27.2,11.14,18KT YELLOW GOLD,8.35,6.808,14120,5787,ROUND,SI,GH,88,0.42,29400,43260,CREAM PEARL,ROUND,2,7.29,911,502,50720,641,64719,
24,ER1178A,ER1178A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Romancing Rocks,,35.1,20.15,18KT YELLOW GOLD,10.6,9.848,20426,7386,ROUND,SI,GH,104,0.97,67900,99910,AMETHYST,PEAR,14,2.79,5580,1013,102305,1333,134635,
25,ER0552A,ER0552A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,39.5,15.35,18KT YELLOW GOLD,18.31,15.236,31601,11427,ROUND,SI,GH,86,0.48,33600,49440,"BRIGHT GOLD PEARL,SWAROVSKI RED,SWAROVSKI GREEN","ROUND,ROUND,ROUND",24,14.89,2890,795,80313,954,96312,
26,ER0539A,ER0539A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold:Just Jhumkas:Romancing Rocks,,32.95,14.9,18KT YELLOW GOLD,13.21,9.996,20733,7497,ROUND,SI,GH,56,0.45,31500,46350,"SWAROVSKI GREEN ,RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,OVAL,ROUND",80,15.62,7160,669,67559,817,82557,
27,ER0504A,ER0504A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks:Symmetric Splendour,,41.49,10.1,18KT YELLOW GOLD,6.57,6.098,12648,5183,ROUND,SI,GH,124,0.55,38500,56650,"BLAZING RED TOPAZ,BLAZING RED TOPAZ","ROUND,PRINCESS",4,1.81,4220,606,61157,787,79488,
28,ER0554A,ER0554A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Floral Fantasy:Glitz & Gold:Just Jhumkas,,23.18,10.68,18KT YELLOW GOLD,8.07,6.42,13316,5457,ROUND,SI,GH,102,0.61,42700,62830,"CREAM PEARL,SWAROVSKI GREEN","ROUND,ROUND",24,7.64,2011,635,64119,836,84450,
29,ER1110A,ER1110A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Floral Fantasy:Glitz & Gold,,29.2,9.55,18KT YELLOW GOLD,5.42,5.334,11063,4534,ROUND,SI,GH,14,0.43,30100,44290,,,0,0,0,457,46154,599,60486,
30,ER1053A,ER1053A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,16.9,10.3,18KT YELLOW GOLD,4.78,4.58,9499,3893,ROUND,SI,GH,74,0.37,25900,38110,RAINFOREST GREEN TOPAZ,ROUND,2,0.63,1890,412,41594,534,53926,
31,ER1196A,ER1196A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Symmetric Splendour,,29.1,10.2,18KT YELLOW GOLD,5.47,3.894,8077,3310,ROUND,SI,GH,66,0.58,40600,59740,BRIGHT GOLD PEARL,ROUND,2,7.3,913,529,53429,720,72760,
32,ER1126A,ER1126A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Romancing Rocks,,39.7,15,18KT YELLOW GOLD,10.52,10.164,21081,7623,ROUND,SI,GH,68,0.77,53900,79310,"CITRINE,RHODOLITE","OVAL,OVAL",4,1.01,3535,861,87000,1115,112664,
33,ER1093A,ER1093A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold,,35,9.8,18KT YELLOW GOLD,4.46,4.356,9035,3703,ROUND,SI,GH,66,0.52,36400,53560,,,0,0,0,491,49629,663,66961,
34,ER0638A,ER0638A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Daily Dazzle:Just Jhumkas,,28.2,15.35,18KT YELLOW GOLD,10.57,10.486,21749,7865,ROUND,SI,GH,46,0.42,29400,43260,,,0,0,0,590,59604,729,73603,
35,ER0581A,ER0581A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Candid Celebrations:Floral Fantasy:Just Jhumkas,,28.7,12.1,18KT YELLOW GOLD,12.24,10.542,21865,7906,ROUND,SI,GH,54,0.3,21000,30900,"SWAROVSKI GREEN ,RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,ROUND,ROUND",74,8.19,6156,569,57496,668,67495,
36,ER1046A,ER1046A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Floral Fantasy:Glitz & Gold,,24,18.4,18KT YELLOW GOLD,7.34,7.232,15000,5424,ROUND,SI,GH,88,0.54,37800,55620,,,0,0,0,582,58806,760,76804,
37,ER0569A,ER0569A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,24.5,12.88,18KT YELLOW GOLD,8.09,5.084,10545,4321,ROUND,SI,GH,86,0.45,31500,46350,"PINK CORAL,BRIGHT GOLD PEARL","OVAL CABOCHON,ROUND",4,14.58,3310,497,50173,645,65171,
38,ER0602A,ER0602A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,35,8.5,18KT YELLOW GOLD,10.9,4.564,9466,3879,ROUND,SI,GH,72,0.37,25900,38110,"PEARL,SWAROVSKI RED","BRIOLETTE,ROUND",14,31.31,5256,445,44946,567,57278,
39,ER0605A,ER0605A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,24,2.1,18KT YELLOW GOLD,4.38,4.234,8782,3599,ROUND,SI,GH,78,0.29,20300,29870,RAINFOREST GREEN TOPAZ,OVAL,2,0.44,1540,342,34563,438,44229,
40,ER0632A,ER0632A,EARRINGS,STUDS/DROPS:CHANDELIERS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Just Jhumkas,,38.5,13.5,18KT YELLOW GOLD,8.5,5.442,11287,4626,ROUND,SI,GH,64,0.49,34300,50470,"RAINFOREST GREEN TOPAZ,BRIGHT GOLD PEARL","OVAL,ROUND",4,14.8,3369,536,54118,698,70450,
41,ER1007A,ER1007A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Romancing Rocks,,25,2.8,18KT YELLOW GOLD,4.38,4.28,8877,3638,ROUND,SI,GH,34,0.2,14000,20600,SWAROVSKI RED,ROUND,24,0.3,1200,277,27992,343,34658,
42,ER1019A,ER1019A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Irresistible Illusions,,31.5,7,18KT YELLOW GOLD,3.7,3.454,7164,2936,ROUND,SI,GH,44,0.78,54600,80340,AMETHYST,OVAL,2,0.45,1575,663,66938,920,92935,
43,ER1096A,ER1096A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Daily Dazzle:Floral Fantasy:Romancing Rocks,,45.35,7,18KT YELLOW GOLD,4.78,4.27,8856,3629,ROUND,SI,GH,22,0.86,60200,88580,BLAZING RED TOPAZ,PEAR,2,1.69,3380,761,76826,1044,105489,
44,ER1151A,ER1151A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,38,13.4,18KT YELLOW GOLD,8.06,7.564,15688,5673,ROUND,SI,GH,84,0.54,37800,55620,RAINFOREST GREEN TOPAZ,ROUND,2,1.94,3880,630,63671,809,81670,
45,ER1168A,ER1168A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Black Beauty:Candid Celebrations:Irresistible Illusions:Symmetric Splendour,,40.5,26,18KT YELLOW GOLD,11.76,9.666,20048,7250,ROUND,SI,GH,162,1.2,84000,123600,"BLACK SPINEL,CREAM PEARL","ROUND,ROUND",254,9.27,13510,1248,126056,1644,166052,
46,ER0527A,ER0527A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,28,15,18KT YELLOW GOLD,7.13,7.01,14539,5258,ROUND,SI,GH,68,0.6,42000,61800,,,0,0,0,618,62415,816,82413,
47,ER0543A,ER0543A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Drops & Domes:Glitz & Gold,,45,17,18KT YELLOW GOLD,9.17,6.158,12772,5234,ROUND,SI,GH,70,0.4,28000,41200,"RAINFOREST GREEN TOPAZ,CREAM PEARL","PEAR,ROUND",4,14.66,2868,489,49363,621,62695,
48,ER0553A,ER0553A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Daily Dazzle:Glitz & Gold:Just Jhumkas,,26.3,11.14,18KT YELLOW GOLD,8.17,6.552,13589,5569,ROUND,SI,GH,72,0.39,27300,40170,"SWAROVSKI RED,CREAM PEARL","ROUND,ROUND",68,7.7,4210,507,51175,635,64173,
49,ER0556A,ER0556A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Candid Celebrations:Glitz & Gold:Just Jhumkas,,37.4,14.44,18KT YELLOW GOLD,11.84,11.72,24308,8790,ROUND,SI,GH,106,0.46,32200,47380,SWAROVSKI RED,ROUND,18,0.14,900,662,66860,814,82192,
50,ER0563A,ER0563A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Floral Fantasy:Glitz & Gold:Romancing Rocks,,24.5,15.5,18KT YELLOW GOLD,8.03,7.594,15751,5696,ROUND,SI,GH,14,0.27,18900,27810,SWAROVSKI RED,ROUND,78,1.91,3900,442,44689,532,53689,
51,ER0558A,ER0558A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,39,10.5,18KT YELLOW GOLD,7.29,7.082,14689,5312,ROUND,SI,GH,110,0.67,46900,69010,SWAROVSKI RED,ROUND,22,0.37,1100,680,68681,901,91012,
52,ER0572A,ER0572A,EARRINGS,BAALIS/HUGGIES:JHUMKAS,CLASSIC,Glitz & Gold:Just Jhumkas,,31,17,18KT YELLOW GOLD,11.88,9.664,20044,7248,ROUND,SI,GH,44,0.24,16800,24720,"CREAM PEARL,SWAROVSKI RED","ROUND,ROUND",54,10.84,3556,476,48124,556,56124,
53,ER0588A,ER0588A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,26.5,10,18KT YELLOW GOLD,5.75,5.664,11748,4814,ROUND,SI,GH,66,0.25,17500,25750,SWAROVSKI RED,ROUND,8,0.18,400,345,34807,427,43139,
54,ER0603A,ER0603A,EARRINGS,STUDS/DROPS:JHUMKAS,EXCLUSIVE,Candid Celebrations:Glitz & Gold:Just Jhumkas,,29.85,13,18KT YELLOW GOLD,14.22,12.26,25428,9195,ROUND,SI,GH,76,0.47,32900,48410,"SWAROVSKI GREEN ,CREAM PEARL","ROUND,ROUND",78,9.33,4618,721,72862,877,88528,
55,ER0628A,ER0628A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,24.5,15.75,18KT YELLOW GOLD,5.28,5.05,10474,4292,ROUND,VVS,EF,70,0.32,22400,32960,SWAROVSKI RED,ROUND,54,0.83,2700,399,40265,504,50930,
56,ER0631A,ER0631A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,27.5,14.5,18KT YELLOW GOLD,9.77,9.146,18970,6860,ROUND,SI,GH,74,0.4,28000,41200,SWAROVSKI RED,ROUND,160,2.72,8000,618,62448,750,75780,
57,ER1018A,ER1018A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Glitz & Gold,,30.1,19.3,18KT YELLOW GOLD,11.94,11.752,24375,8814,ROUND,SI,GH,60,0.39,27300,40170,SWAROVSKI GREEN,ROUND,36,0.55,1800,623,62912,752,75911,
58,ER1054A,ER1054A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,20,3.5,18KT YELLOW GOLD,6.78,6.724,13946,5715,ROUND,SI,GH,38,0.28,19600,28840,,,0,0,0,393,39654,485,48986,
59,ER1056A,ER1056A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,13,8,18KT YELLOW GOLD,6.7,6.564,13614,5579,ROUND,SI,GH,132,0.68,47600,70040,,,0,0,0,668,67461,892,90125,
60,ER1081A,ER1081A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Symmetric Splendour,,42.7,10.9,18KT YELLOW GOLD,6.33,6.108,12669,5192,ROUND,SI,GH,104,0.64,44800,65920,AMETHYST,ROUND,2,0.47,1410,641,64712,852,86043,
61,ER1106A,ER1106A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,42.8,11,18KT YELLOW GOLD,6.53,6.082,12615,5170,ROUND,SI,GH,116,0.62,43400,63860,CITRINE,PEAR,2,1.62,3240,644,65069,849,85734,
62,ER1112A,ER1112A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,51,14,18KT YELLOW GOLD,8.96,7.166,14863,5374,ROUND,SI,GH,130,0.69,48300,71070,"BLUE TOPAZ,AMETHYST,CREAM PEARL","OVAL,OVAL,ROUND",6,8.28,4376,729,73642,957,96640,
63,ER1123A,ER1123A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Romancing Rocks,,35.7,12.7,18KT YELLOW GOLD,12.39,11.898,24678,8924,ROUND,SI,GH,196,1,70000,103000,SWAROVSKI RED,ROUND,118,1.46,5900,1095,110597,1425,143927,
64,ER1138A,ER1138A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations:Glitz & Gold:Romancing Rocks,,32,15,18KT YELLOW GOLD,6.61,6.43,13336,5466,ROUND,SI,GH,64,0.45,31500,46350,RAINFOREST GREEN TOPAZ,OVAL,2,0.45,1575,519,52396,667,67394,
65,ER1166A,ER1166A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes,,36.6,14.5,18KT YELLOW GOLD,6.87,6.172,12801,5246,ROUND,SI,GH,80,0.47,32900,48410,CREAM PEARL,ROUND,2,3.02,453,514,51914,669,67579,
66,ER1199A,ER1199A,EARRINGS,STUDS/DROPS:JHUMKAS,CLASSIC,Candid Celebrations:Drops & Domes:Floral Fantasy,,31.75,13.55,18KT YELLOW GOLD,10.38,7.27,15079,5452,ROUND,SI,GH,66,0.6,42000,61800,"RAINFOREST GREEN TOPAZ,CREAM PEARL","ROUND,ROUND",4,14.95,3766,663,66960,861,86958,
67,ER1427A,ER1427A,EARRINGS,STUDS/DROPS,EXCLUSIVE,Black Beauty:Candid Celebrations:Symmetric Splendour,,14.5,12,18KT YELLOW GOLD,5.27,4.892,10146,4158,ROUND,SI,GH,144,0.75,52500,77250,BLACK SPINEL,ROUND,64,1.14,3200,700,70704,948,95702,
68,ER1095A,ER1095A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Floral Fantasy,,49.6,11.4,18KT YELLOW GOLD,10.5,7.44,15431,5580,ROUND,SI,GH,130,0.97,67900,99910,CREAM PEARL,ROUND,2,14.33,1791,907,91609,1227,123939,
69,ER0608A,ER0608A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,29,2.1,18KT YELLOW GOLD,6.9,6.602,13693,5612,ROUND,SI,GH,84,0.29,20300,29870,"RAINFOREST GREEN TOPAZ,SWAROVSKI GREEN","OVAL,ROUND",38,1.2,4915,445,44965,541,54631,
70,ER1430A,ER1430A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks,,32,19.1,18KT YELLOW GOLD,8.92,7.938,16464,5954,ROUND,SI,GH,112,0.68,47600,70040,"KASHMIR BLUE TOPAZ,KASHMIR BLUE TOPAZ","OVAL,ROUND",18,4.23,7245,773,78036,997,100700,
71,ER1088A,ER1088A,EARRINGS,STUDS/DROPS:CHANDELIERS,CLASSIC,Candid Celebrations,,37.4,8.5,18KT YELLOW GOLD,5.31,5.026,10424,4272,ROUND,SI,GH,64,0.47,32900,48410,AMETHYST,OVAL,2,0.95,3325,509,51430,664,67095,
72,ER1017A,ER1017A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Candid Celebrations:Floral Fantasy:Glitz & Gold,,37.8,18,18KT YELLOW GOLD,11.19,11.076,22973,8307,ROUND,SI,GH,114,0.57,39900,58710,,,0,0,0,712,71892,900,90890,
73,ER1139A,ER1139A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Glitz & Gold:Symmetric Splendour,,33.8,21.5,18KT YELLOW GOLD,9.58,9.464,19629,7098,ROUND,SI,GH,50,0.58,40600,59740,,,0,0,0,673,68000,865,87332,
74,ER1047A,ER1047A,EARRINGS,BAALIS/HUGGIES,EXCLUSIVE,Black Beauty:Candid Celebrations:Floral Fantasy:Glitz & Gold,,33,14,18KT YELLOW GOLD,6.26,6.08,12610,5168,ROUND,SI,GH,96,0.43,30100,44290,BLACK SPINEL,ROUND,60,0.47,3000,509,51387,651,65719,
75,ER1108A,ER1108A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,CLASSIC,Candid Celebrations:Romancing Rocks,,38.7,11.1,18KT YELLOW GOLD,5.51,4.88,10122,4148,ROUND,SI,GH,104,0.6,42000,61800,"RAINFOREST GREEN TOPAZ,RAINFOREST GREEN TOPAZ","ROUND,ROUND",4,2.55,5710,620,62600,818,82598,
76,ER1114A,ER1114A,EARRINGS,STUDS/DROPS,CLASSIC,Candid Celebrations:Glitz & Gold,,35.7,17.3,18KT YELLOW GOLD,9.6,9.324,19339,6993,ROUND,SI,GH,98,0.85,59500,87550,SWAROVSKI GREEN,ROUND,20,0.53,1000,868,87700,1149,116031,
77,ER1089A,ER1089A,EARRINGS,STUDS/DROPS:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Romancing Rocks:Symmetric Splendour,,34.6,9.5,18KT YELLOW GOLD,4.55,4.04,8379,3434,ROUND,SI,GH,112,0.72,50400,74160,RAINFOREST GREEN TOPAZ,PEAR,2,1.83,3660,659,66532,896,90529,
78,ER1097A,ER1097A,EARRINGS,BAALIS/HUGGIES:CHANDELIERS,EXCLUSIVE,Candid Celebrations:Drops & Domes:Glitz & Gold,,42.3,13,18KT YELLOW GOLD,8.59,5.61,11636,4768,ROUND,SI,GH,120,0.6,42000,61800,CREAM PEARL,ROUND,2,14.3,1788,602,60794,800,80792,
79,ER1060A,ER1060A,EARRINGS,BAALIS/HUGGIES,CLASSIC,Daily Dazzle:Glitz & Gold,,16.4,4.2,18KT YELLOW GOLD,3.72,3.66,7591,3111,ROUND,SI,GH,42,0.3,21000,30900,,,0,0,0,317,32019,416,42018,
